text,category
"Democratic politics have fundamentally changed globally, says Rahul Gandhi - The Economic Times <a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNU25DcmZJNUpJcEwza0ltblJUMEhHRUFfTnNveUkxaHAtMkFXNUpETEFTQXgyOTdWLVQyenIxdktLTldxcFFUZl93LUYwa0ZIVVJoOGZHS2xPUDF3Q2NHaFdFNDdWaWpTSWREMFpBSUVJdTJhWlNMMXJON2IwbUVtNy1lTi11RGU5ekNEYmNGc0JDT0hMdk83UGQzaVRrbTd0SUEyZ2R6bkViMEtMcDhFRllIZm1YYVpoclNiZElFMVlVd1RCR1QxOGoyQTA1SkMzTGFnVlFqdXc1eXFieUN0TTRnMTk2SnfSAewBQVVfeXFMTk8yM3pYMDF2R1pIdTkwTDgweVpSZGJ0VUE0X2tMZ3BrNmtzN1NpWWdZOUdCQVhENHd0eGlOaVBnOUpwbnhvRWlaNUNJQXNEMjU2SDdRWU04UWVQODQyQ080ak5la2p1NGRfYkVzZ3BQZmdLTldFa2czYXBHOGFJWXB3dkFjYjc1YXk2d1pXcmhvX3ZuNkJPS3RIOHhmcmJ6WHRQTGdLbFRhUElIaHpOMnJSWFhmNkNhZkhNVmVPZ1ZyRk1OaFhBeXBhX1dDbktLMXQtaGFZeEpVZExMelBMV2JWX0EtWnU1X1MxN0I?oc=5"" target=""_blank"">Democratic politics have fundamentally changed globally, says Rahul Gandhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Politics
"‘Don’t believe in cheap politics’: Omar Abdullah says won’t push for statehood amid Pahalgam tragedy - The Indian Express <a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNSjROX2lIV3RvZXYxc3NVczEyU05odWs4T212dEJ6dUY5RkdiTkxYbDBBWExMWWx1aklzTWhfdVAtVHR5ZW1xY2VDTTR2Wkh2QTlzTXpnZTNwMjRmNkJxX1hhN2JLWFBZQmdBa09rXzI4R3NXTl9tRHpoa01ubWVsNW93czBFVFJ6aWdhQkR6YWk2Mkl3Y0VWemdsYVNtN3ZsY3o0TDR5aEJEVjdDa2xmNzVEONIBugFBVV95cUxNdjRoT2I2anBxZFg2b1h0aURNTTNkU1F2VjJIa21OR3VQZTNPTk9QOFFZWjBxaEhqYzFOUC03S3VMM0Y2clpqeEpQRGhMRHhWNGZvOF9mOUxqdkNTUW1MVDYybmM1b3VVb0V1bFIxTDhVOVROSHZ2akZiTDZ3NEV2WEYtV3BIU195WEYtUHNKeW9mbmVENUREZW9vNFlGa1I0Y2pRSnFMX0oyWFRSejJhTi1EWjZFcjNHckE?oc=5"" target=""_blank"">‘Don’t believe in cheap politics’: Omar Abdullah says won’t push for statehood amid Pahalgam tragedy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Politics
"""Shame On Me If..."": Omar Abdullah Won't Use Pahalgam For Statehood Push - NDTV <a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQSnFhUVhuLXBId2d4Rm9LWi00SzVyZlpxa3FuYmZGWGlNOF92YU9RTUNQQUg0QzVocFNHMGpoZnd4SmptSWNJWHhQYWlIWFMzRDVwRGdJdlR3dUdOUVFTNmktODJMRVlrZzJTZnNKdFhNU0FqSERlR0NRNlZvLVhkdUdjSU9MVXd1NDlVUkZOREkyQ192aHVKbXhrX3gtcVBGanhTSGNhQmtaaWdORVdOYXBEWVpEVHlsX1h4cHVNYVJvZTNnOE1JYzNZbHVMcHB0TXpTbVI5MGRBTS0wZUJ2eUFn0gHqAUFVX3lxTE5mRGpxdDdzYjBVTEQxNVM4YzB1NmxlNmFOcjNBOGROY0FQalJ0VjdmY3RfcXdBSzZfWDhtVkd1aGtBRmFfQUlhaWRkcmtxTEpqVGpURk5TZnJzemFMQzdFUUk5WXlnanlrR0V0eWlfSnVQVU5zcm93cjBxazBaRVZsZy1HUnZBVDlLU1hRTWhQR20yZ0ZTOWFXM2pCUElnS2o2a2ZUS3FGcnVvSEhET3AwSmJNSC02YXdOY0RHd0RyeEtWMEVPVEgtZ1BoNDZyeWN0TUQ3X0ViNlBPTjE1ekU1dHY2U2VtYThjQQ?oc=5"" target=""_blank"">""Shame On Me If..."": Omar Abdullah Won't Use Pahalgam For Statehood Push</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>",Politics
"Won't talk statehood at this time, I've lost face: Omar Abdullah on J&K attack - India Today <a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxQMHM0ckZ1SjBJbUlESnZJUURxVXF4RTZCb0FmekhZN3R1X3RTT0R2dEc0aGN5WFhacmx6QTJSemVEMEx6R01Ca2hzeUE2Qm5rLThHMTVpa3o2M1htdlhQbXpRTmFZeGU5OHg1ZHB6Qjh2SV8yQWplbUMtOGRqR2d0cHFNVnNwQlpnZ3dOcWJHVUhGNDBQY1RYOGRrUUw5bUpvdXNVX2x5QTZheFNPTVZCWWJUNHEzOGZBX1FUdGdqWnZwamJITk5SNHZTTnFhMFRsRHNVZERLU0lFejBxb1N0MFZxLXBVenNfOW5yeXlxTlFxZE3SAfgBQVVfeXFMTzJOaE12ZWxDVHQ5aHp1ek9pQ2JTRm5WS245VkNKcC1wSEhJaU5jRzhWMWtseTNjQ21rRWhBTmZFS2dNN2xWS2hDNkh3alhEcEFoVFBOeGxiVndidEpUMHg0XzF4Y21ndnVZcGx6YVhIWXVlYzhfVHBqSkcwOUpjSmI3ZWJrQWQwa3RTV21jd1RTOGVab3lsU0ZxNDJaWFhPeTAwSFFzbHliZy1jaWVnUDRlWFh3amJlYmdDSzBqWFRXcGpwQURsZEdhSWIwSkZPRHRLdDZlb1d2Mzh1Vnh0OVVYXzZIV3dfN0RvQVpUckJ3U0VZWjdUMVY?oc=5"" target=""_blank"">Won't talk statehood at this time, I've lost face: Omar Abdullah on J&K attack</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Politics
"Reunion on the horizon: Thackeray cousins could alter contours of Sena politics - Deccan Herald <a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNZGx2cmNLaWFlZFZIWlJBQVZhZjNCUW5lQlQ1V0ZCME1jYURLQ1VhUHVVbHBjdkV3MjNld3R3b2hvOGR3cjFQZmZJek1zN1d4dXR5YTNSZ1Z1Rkp5b3BOUWw2V09qMktOeUN6cDhPNTVBaUxHQmNFZ2tYNWUwSG83dGFjRGoySVZ4TjdyT0ZXLTlCbVdzbFY5WHZVNVRDMGRTd3VybVpHeEt6aXUzZERDNWNyNXJTaGNJMEpuZzRlVm5pdnZ1N1V1dGRUQm1xUQ?oc=5"" target=""_blank"">Reunion on the horizon: Thackeray cousins could alter contours of Sena politics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",Politics
"Shifting political equations: The new normal in Maharashtra's power play - Business Standard <a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOSlJwMUNZdVRTb3lYdFZUV1BJcHdfZjVZSEVQTm5QRGJOSjRUX2pLNEZmWDktSERXd3NxQVRoeWR1MVpSUGV5cEo1WUtlNTNSZGhKTnhmRVcyTWxzVHd1amxmSGtKOWJUT1dXd2paUWJmaFpGdkdOeHdhR0lrbTd1NDZMTEVFSHV0X1dlSUhKOUtXYmI1dHdIcjRqT0MtbHZQY1NOWkhERFlWVkEyTHl4QVB6aUc3WFVMdkp2VmVWN3FBTHNkaGVobFFMTE1DUUnSAdQBQVVfeXFMT3lRNnFWUHQwOG9xVE5YQ05JRGNLcXlJdExCT0xuTjFYeG9kR0hraS13Sk5FMHJwdnB5OGs5b1gtZVYtSnYzd3BzOWFoRy1lRHFDVXBpaXJkZlN1b09QTlU3T1Bjb3REVGJkcUtvX09NZlR3ZnI3eHFBelcwRE1IZ1VWdlFCeTl6UzRzb2FhTHNDMGNtOTVHb0t1XzhiNDhPZzFQWnJkMEpQckxCRUpzUU5rakhZMVExcW9hX0drZlRmMS01TUx3U1pOcV9WZC0xd1NhUHo?oc=5"" target=""_blank"">Shifting political equations: The new normal in Maharashtra's power play</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Politics
"Cong exploited SC community for vote-bank politics: BJP - The Tribune <a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxNVWV5VlJVdWpWX192bWRwaVhFZVVacnJFMGVFb0p0X3R3RlBBbmg2a1k2ak1nMWd1dkx2WGpOTDFiWERTZVJjSnQ3TV9RNktxOTZsMVJxY1FNMG5SNDhLY1VNZ09yTFdiX21BN2ZWdnNLWlNvZDUzQzRMQnB0TUtsR1ZzRTFPNEplaUdTWjdSVnBJTEF2SDJGblhfTlBMY03SAaMBQVVfeXFMTzNrdnFCMkdjSGVqaFA5VW1pUmx2UUVpUjJRZnpMR0JfRm90RlZxQm5MWlFNR3d5QnZSSUw5UU5XTkdfUnpCckd6MndSa0c0VU10cjZTM09YWWlzQmVreXpqMjFMTFlnaXptSzQzN0UwOEtlTmlTVTVGWnJrSEZ5czdmbTNwVWhYeEJnbHRnWUlEcUZfVjNNbGpQS2xrV1BuU2pMYw?oc=5"" target=""_blank"">Cong exploited SC community for vote-bank politics: BJP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font>",Politics
"Pahalgam killings spark fresh wave of polarisation and communal politics in Bengal - The Hindu <a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOVWJYUTFTampESDdyU1pDY0M0TFF5cDdKX3pqa1lxM0NJMnNjUnhnYjNKMjhraTJDSnZmOEpYV20zQ1pyQldXRXFQcFVOaVpCUDBhZHJpQmJnWUJWdGNfNEgzSTZEeHR4QWJKbklyRUs5QzI0Tlpxa3BIMHUxQXR5S3ZTVmtpTnRRQW9TMEF0MjczSTkxSmlyWDdmUXFUVi0yVEhhQXpsNmhRTnRKS3hSdGs0QzBTNFVtVmItSjU0UHBGckZWUmFYS05MZU50NTZXcUxpX1RaSFFfcFBHaF9neUpNUmo3cG540gHvAUFVX3lxTFBzSko1UmhVd21RUWswYkNNQi0xdW0zMzVRakRJaTE1QzJ2a0pYN3RCeEF5eXY2Tm43MnRaa1VaMTFwVURBV205ckl6Tm1xSmdHSFM4YmVpNlBoUThOSkhGMmZabTg4MHMwYkI0NmJmV0V5NkxmNkEzcmtnejJ6ZWVZMWdMb0gxanBVbEhqRXZBRk5CTndFVFJJWTJISFloMThaWGJIYmFjLUE3RFNiLWFLV0ZGVTBZZGd4eWVGNXVCY3BRRFB3S1YwR3NoMXpjTHR1bnM3ZDBWVEd6U1dyVnE5bmR2RXVVYzVDdVVOMksw?oc=5"" target=""_blank"">Pahalgam killings spark fresh wave of polarisation and communal politics in Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Politics
"Democratic politics have changed globally: Rahul Gandhi - Hindustan Times <a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTE1hVVVtTk43QkFJcEtqcEFfWkpTekVEQUZ5eFdxSzNwM0RhdGFaRHFnbVRZNjNJSVFIR19ualRvQTVBTnhUNUstZW9iU3hWTENaeXJwUFRHR0IxWjZpMUUwZzhtTXQ5SHIyVGVHcERFZ1hvWHFCeHVHbWJVZTVTWkNSWEVySkJtNUFFVjRGNDZLbjZQbGlGMmJ6TVhSN0FXSVRqeVRXY21FQTMweHlqak03dFdnUF9n?oc=5"" target=""_blank"">Democratic politics have changed globally: Rahul Gandhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Politics
"Paresh Rawal reveals he lost out on National Award for Sardar due to lobbying: 'That’s the kind of dirty - Times of India <a href=""https://news.google.com/rss/articles/CBMiwgJBVV95cUxNOGdiNWFYc2hnVW1QM0dKd29nSG1jVUM0ak1jQ2VXTEFqUmZ0T3BheGRKZXNEUnE1d0ZFdWJaZDJhc2xtMU9neW9GSjBsZ2dhMzlWTk1aMlo0THdkb1B5TmNiS3N4QVEyallfWi1JblRvNjByTk9HZm5jUTBsUmVSa0NpSWppUDFmdjI0QmFVWHhucFFYaDAtMEhCMWRHNnJWbndPeFNKdU5tb2RmaGdRYm5KUUdCZG54MzZUSndKb1c2Rk8wNV9yQ0dxSFhxN3VJYUkteXF6U09oMWlPa2xOaFFVUFpab1ktbW9Id2RSb0ExX1JhZkFwTWMtX3VtSnp5dFdCc05SRGpMeUFiWlBDVlF6bDZDd0ZLeVloVWdQRHNSTUJLam9nYW0xa2V0SVh6akpMbWhkR3Bnbm5kZk5nWktB0gHHAkFVX3lxTE5YMDUtYTdCX3Z6UFBDcUhqdFJObl9GOTBuX0Nrc1FxYWJkc01wMDRnQTg0cXRKMGxfempDc3NSSjdzNkRLOWRacW04emlhdlVLUVZGRDNkZFRGbUNXMl9zeXNIWGh1eUVoaDFXLU1TdDZ4OHhWR2V5Y2g5MWpuZ0VDb1JfeGMzTHpjQ3dkQmszN0JFVE5LdlNkeThGRkg1WmZ3TG8tNGF6M25aa2dJV0x6TW9IXzVpdndXd3drQ2dtUmJKWXg3MklwNk42M2ZGMGtJbFhlWFh1d3RneFFiTmdnZ1hwS1JJUkhmTFVZRHE4VFFuX3FYUFlWUWdPZEREWHNJOGhDdEZVS1QyLWh1VWNyc2hCbE82MFpMVDBzVkZoSDJMSzNYYWJhN25xbHA3UFduRXNDZUdEU3FxMHBYUmVsNlRPNnpSUQ?oc=5"" target=""_blank"">Paresh Rawal reveals he lost out on National Award for Sardar due to lobbying: 'That’s the kind of dirty</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Politics
